date,title,company,details,link,ativo
2025-11-04,Data&BI Analyst,IT House - Global Business Solutions,Lisboa Full-time,https://www.itjobs.pt/oferta/506644/data-bi-analyst,0
2025-11-05,Business Analyst,Dellent,Porto Full-time,https://www.itjobs.pt/oferta/505677/business-analyst,0
2025-11-05,Business Analyst (FBTI),We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/506230/business-analyst-fbti,0
2025-11-06,Data Analyst,Neotalent Conclusion,Lisboa Full-time,https://www.itjobs.pt/oferta/506767/data-analyst,0
2025-11-07,Business Intelligence Analyst - Full remote,QiBit Portugal,Aveiro Full-time,https://www.itjobs.pt/oferta/506776/business-intelligence-analyst-full-remote,0
2025-11-07,Data Analyst,Adentis,"Aveiro, Lisboa, Porto Full-time Remoto",https://www.itjobs.pt/oferta/506826/data-analyst-remote,0
2025-11-07,Functional Analyst,We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/506520/functional-analyst,0
2025-11-07,Full-remote Data & Digital Analyst,QiBit Portugal,Porto Full-time,https://www.itjobs.pt/oferta/506770/full-remote-data-digital-analyst,0
2025-11-07,Senior Data/BI Analyst,Integer Consulting,Lisboa Full-time,https://www.itjobs.pt/oferta/506815/senior-data-bi-analyst,0
2025-11-10,IT Consultant,Fyld,Internacional Full-time,https://www.itjobs.pt/oferta/506838/it-consultant,0
2025-11-10,Data Analyst,KCS IT,Porto Full-time Remoto,https://www.itjobs.pt/oferta/506764/data-analyst,0
2025-11-10,Data Analyst,KCS IT,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/506765/data-analyst,0
2025-11-10,Senior Business Analyst (French Speaker),We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/506704/senior-business-analyst-french-speaker,0
2025-11-10,GRC Cybersecurity Analyst,We Are Meta,Lisboa Full-time,https://www.itjobs.pt/oferta/506791/grc-cybersecurity-analyst,0
2025-11-10,GRC Cybersecurity Analyst,We Are Meta,Lisboa Full-time,https://www.itjobs.pt/oferta/506792/grc-cybersecurity-analyst,0
2025-11-12,IT Operational Excellence Analyst,HCCM Consulting,Lisboa,https://www.itjobs.pt/oferta/506919/it-operational-excellence-analyst,0
2025-11-12,Senior Data Analyst,Dellent,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/505979/senior-data-analyst,0
2025-11-20,Business Analyst,Dellent,Lisboa Full-time,https://www.itjobs.pt/oferta/506202/business-analyst,0
2025-11-20,Looker Developer,We Are Meta,"Coimbra, Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/507236/looker-developer,0
2025-11-20,Data Analyst,Xpand IT,"Braga, Lisboa Full-time",https://www.itjobs.pt/oferta/507146/data-analyst,0
2025-11-20,Data Analyst,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/507079/data-analyst,0
2025-11-23,Business Analyst- Agile,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/507139/business-analyst-agile,0
2025-11-24,Regulatory Business Analyst,We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/507321/regulatory-business-analyst,0
2025-11-25,Business Analyst (French Speaker),We Are Meta,"Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/507291/business-analyst-with-french,0
2025-11-25,Data Analyst,Growin - Know to grow,Internacional,https://www.itjobs.pt/oferta/507416/data-analyst,0
2025-11-25,Data Analyst- Power BI,KWAN,Lisboa,https://www.itjobs.pt/oferta/507283/data-analyst-power-bi,0
2025-11-26,Technical Business Analyst,Neotalent Conclusion,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/507271/technical-business-analyst,0
2025-11-26,Regulatory Business Analyst,We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/507320/regulatory-business-analyst,0
2025-11-27,Data Engineer Microsoft,Mind Source,Lisboa Full-time,https://www.itjobs.pt/oferta/507443/data-engineer-microsoft,0
2025-11-30,Data Analyst,Neotalent Conclusion,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/507274/data-analyst,0
2025-11-30,ERP Finance Analyst,QiBit Portugal,Porto Full-time,https://www.itjobs.pt/oferta/507578/erp-finance-analyst,0
2025-12-02,Data Analyst,Growin - Know to grow,"Braga, Lisboa, Setúbal, Porto Full-time",https://www.itjobs.pt/oferta/507608/data-analyst,0
2025-12-02,Data Analyst,Devoteam,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/507614/data-analyst,0
2025-12-03,Business Analyst,Devoteam,Lisboa Full-time,https://www.itjobs.pt/oferta/507616/business-analyst,0
2025-12-03,Business Analyst,KCS IT,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/507650/business-analyst,0
2025-12-09,IT Business Analyst,Fyld,Lisboa Full-time,https://www.itjobs.pt/oferta/507846/it-business-analyst,0
2025-12-12,Business Analyst w/ Loan IQ,Aubay,Porto,https://www.itjobs.pt/oferta/508019/business-analyst-w-loan-iq,0
2025-12-12,SOC Analyst (L1+/L2),Noesis Portugal,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/508016/soc-analyst-l1-l2,0
2025-12-12,Data Analyst,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/507993/data-analyst,0
2025-12-13,Business Analyst w/ Loan IQ,Aubay,Lisboa,https://www.itjobs.pt/oferta/508023/business-analyst-w-loan-iq,0
2025-12-15,Business Analyst (FBTI),We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/507894/business-analyst-fbti,0
2025-12-15,Business Analyst,Aubay,Remoto,https://www.itjobs.pt/oferta/508056/business-analyst,0
2025-12-15,IT Consultant,Fyld,Internacional Full-time,https://www.itjobs.pt/oferta/508100/it-consultant,0
2025-12-17,Functional Analyst,We Are Meta,Porto Full-time,https://www.itjobs.pt/oferta/508013/functional-analyst,0
2025-12-19,Data Analyst,Neotalent Conclusion,Lisboa Full-time,https://www.itjobs.pt/oferta/508031/data-analyst,0
2025-12-20,GRC Cybersecurity Analyst,We Are Meta,Lisboa Full-time,https://www.itjobs.pt/oferta/508098/grc-cybersecurity-analyst,0
2025-12-22,Cybersecurity Analyst,Sourcing Trust,Lisboa Full-time,https://www.itjobs.pt/oferta/508261/cybersecurity-analyst-ref-ij-cyan,0
2025-12-23,Pro Devs/Data Analyst,Dellent,Porto Full-time,https://www.itjobs.pt/oferta/507576/pro-devs-data-analyst,0
2025-12-28,Senior Data Analyst,agap2IT,Porto Full-time,https://www.itjobs.pt/oferta/508404/senior-data-analyst,0
2025-12-29,Data Analyst,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/508383/data-analyst,0
2025-12-30,Data Analyst,Xpand IT,"Braga, Lisboa Full-time",https://www.itjobs.pt/oferta/508440/data-analyst,0
2026-12-31,Data Analyst- Power BI,KWAN,Lisboa,https://www.itjobs.pt/oferta/508449/data-analyst-power-bi,0
2026-01-02,Data Engineer Microsoft,Mind Source,Lisboa Full-time,https://www.itjobs.pt/oferta/508534/data-engineer-microsoft,0
2026-01-04,Data Analyst,Growin - Know to grow,Internacional,https://www.itjobs.pt/oferta/508468/data-analyst,1
2026-01-05,Data Analyst,Devoteam,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/508579/data-analyst,1
2026-01-06,Data Analyst,Noesis Portugal,"Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/508698/data-analyst,0
2026-01-07,Technical Business Analyst,Neotalent Conclusion,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/508508/technical-business-analyst,0
2026-01-07,Full-remote Data & Digital Analyst,QiBit Portugal,Porto Full-time,https://www.itjobs.pt/oferta/508738/full-remote-data-digital-analyst,1
2026-01-09,Business Analyst w/ Data Quality,Integer Consulting,"Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/508761/business-analyst-w-data-quality,1
2026-01-09,Business Analyst,Devoteam,Lisboa Full-time,https://www.itjobs.pt/oferta/508694/business-analyst,1
2026-01-09,HR Application Support Analyst (french speaker),Dellent,"Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/508087/hr-application-support-analyst-french-speaker,1
2026-01-09,Data Quality Analyst,Integer Consulting,"Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/508760/data-quality-analyst,1
2026-01-11,Data Analyst,Growin - Know to grow,"Braga, Lisboa, Setúbal, Porto Full-time",https://www.itjobs.pt/oferta/508862/data-analyst,1
2026-01-11,Data Analyst,Neotalent Conclusion,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/508592/data-analyst,0
2026-01-12,Business Analyst,Devoteam,Full-time Remoto,https://www.itjobs.pt/oferta/508751/business-analyst,1
2026-01-12,IT Business Analyst,Fyld,Lisboa Full-time,https://www.itjobs.pt/oferta/508913/it-business-analyst,1
2026-01-15,Data Analyst (Supply Chain),Randstad Portugal,Lisboa Full-time,https://www.itjobs.pt/oferta/509048/data-analyst-supply-chain,1
2026-01-15,Business Data Analyst,KWAN,Lisboa,https://www.itjobs.pt/oferta/508854/business-data-analyst,0
2026-01-16,Data Analyst,KCS IT,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/509126/data-analyst,1
2026-01-19,IT Consultant,Fyld,Internacional Full-time,https://www.itjobs.pt/oferta/509214/it-consultant,1
2026-01-19,Business Analyst (DAM),KWAN,"Braga, Lisboa Full-time",https://www.itjobs.pt/oferta/509112/business-analyst-dam,0
2026-01-21,Oracle PL/SQL Apex Analyst & Developer,A2F Consulting,Lisboa,https://www.itjobs.pt/oferta/509284/oracle-pl-sql-apex-analyst-developer,1
2026-01-23,Business Intelligence Analyst,KWAN,Lisboa Full-time,https://www.itjobs.pt/oferta/509360/business-intelligence-analyst,1
2026-01-23,Business Analyst (French Speaker),Dellent,Porto Full-time,https://www.itjobs.pt/oferta/508571/business-analyst-french-speaker,1
2026-01-29,Calypso Technical/ Functional Support Analyst (L1/L2),Dellent,Porto Full-time,https://www.itjobs.pt/oferta/508724/calypso-technical-functional-support-analyst-l1-l2,1
2026-01-30,Data Quality Analyst,Dellent,"Lisboa, Porto Full-time",https://www.itjobs.pt/oferta/508782/data-quality-analyst,1
2026-01-30,Salesforce Business Analyst,Aubay,Lisboa Full-time Remoto,https://www.itjobs.pt/oferta/509694/salesforce-business-analyst,1
2026-02-01,Support Analyst,Dellent,Porto Full-time,https://www.itjobs.pt/oferta/508780/support-analyst,1
2026-02-01,Calypso Technical/ Functional Support Analyst (L1/L2),Dellent,Porto Full-time,https://www.itjobs.pt/oferta/508779/calypso-technical-functional-support-analyst-l1-l2,1
2026-02-03,Technical Support Specialist - L2,Aubay,Lisboa Full-time,https://www.itjobs.pt/oferta/509778/technical-support-specialist-l2,1
2026-02-03,Application Support Analyst,Aubay,Lisboa Full-time,https://www.itjobs.pt/oferta/509797/application-support-analyst,1
2026-02-03,Application Support Analyst (English or French),Aubay,Lisboa Full-time,https://www.itjobs.pt/oferta/509805/application-support-analyst-english-or-french,1
2026-02-04,Technical Support Specialist L1,Aubay,Lisboa Full-time,https://www.itjobs.pt/oferta/509788/technical-support-specialist-l1,1
2026-02-04,Data & BI Analyst (Power BI developer),Integer Consulting,Full-time Remoto,https://www.itjobs.pt/oferta/509632/data-bi-analyst-power-bi-developer,1
2026-02-04,Application Support Analyst,Aubay,Lisboa Full-time,https://www.itjobs.pt/oferta/509795/application-support-analyst,1
2026-02-05,Data Engineer Microsoft,Mind Source,Lisboa Full-time,https://www.itjobs.pt/oferta/509884/data-engineer-microsoft,1
2026-02-05,Mobile Business Analyst,QiBit Portugal,Porto Full-time,https://www.itjobs.pt/oferta/509879/mobile-business-analyst,1
